"geneSymbol","diseaseName"
"MIR3591","Hepatitis, Toxic|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIR361","Cholestasis|Hepatitis, Toxic|Myocardial Reperfusion Injury|Pancreatitis|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIR3615","Hepatitis, Toxic|Liver Cirrhosis, Alcoholic|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIR362","Bronchioloalveolar Adenocarcinoma|Hepatitis, Toxic|Myocardial Reperfusion Injury|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIR3622B","Alzheimer's Disease|Presenile dementia|Familial Alzheimer Disease (FAD)|Alzheimer Disease, Late Onset|Acute Confusional Senile Dementia|Alzheimer's Disease, Focal Onset|Alzheimer Disease, Early Onset"
"MIR365A","Hepatitis B"
"MIR365B","Hepatitis B"
"MIR367","Hepatitis, Toxic|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIR369","Carcinoid Tumor|Cocaine Abuse|Hirschsprung Disease|Lung Neoplasms|Myocardial Reperfusion Injury|Neoplasms, Experimental|Carcinoid, Goblet Cell|Cocaine-Related Disorders|Papillary thyroid carcinoma|Malignant neoplasm of lung|Argentaffinoma|Cocaine Dependence|Nonmedullary Thyroid Carcinoma|Familial Nonmedullary Thyroid Cancer|HIRSCHSPRUNG DISEASE, SUSCEPTIBILITY TO, 1"
"MIR370","Carcinoid Tumor|Lung Neoplasms|Neoplasm Metastasis|Neoplasms, Experimental|Carcinoid, Goblet Cell|Papillary thyroid carcinoma|Malignant neoplasm of lung|Argentaffinoma|Nonmedullary Thyroid Carcinoma|Familial Nonmedullary Thyroid Cancer"
"MIR374B","Neoplastic Cell Transformation"
"MIR375","Alzheimer's Disease|Presenile dementia|Diabetes Mellitus, Non-Insulin-Dependent|Myocardial Reperfusion Injury|Pancreatitis|Familial Alzheimer Disease (FAD)|Alzheimer Disease, Late Onset|Acute Confusional Senile Dementia|Alzheimer's Disease, Focal Onset|Alzheimer Disease, Early Onset"
"MIR376A1","Papillary thyroid carcinoma|Nonmedullary Thyroid Carcinoma|Familial Nonmedullary Thyroid Cancer"
"MIR376A2","Papillary thyroid carcinoma|Nonmedullary Thyroid Carcinoma|Familial Nonmedullary Thyroid Cancer"
"MIR376B","Myocardial Reperfusion Injury|Neoplasms, Experimental|Papillary thyroid carcinoma|Nonmedullary Thyroid Carcinoma|Familial Nonmedullary Thyroid Cancer"
"MIR376C","Cocaine Abuse|Liver Cirrhosis|Pancreatitis|Cocaine-Related Disorders|Papillary thyroid carcinoma|Fibrosis, Liver|Cocaine Dependence|Nonmedullary Thyroid Carcinoma|Familial Nonmedullary Thyroid Cancer|Carcinoma, Ovarian Epithelial"
"MIR377","Cholestasis|Diabetes Mellitus, Non-Insulin-Dependent|Papillary thyroid carcinoma|Nonmedullary Thyroid Carcinoma|Familial Nonmedullary Thyroid Cancer"
"MIR378A","Hepatitis B|Hepatitis, Toxic|Pulmonary Fibrosis|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity|Alveolitis, Fibrosing"
"MIR378C","Hepatitis, Toxic|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIR378I","Hepatitis B|Hepatitis, Toxic|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIR379","Neoplasms, Experimental|Pancreatitis|Papillary thyroid carcinoma|Nonmedullary Thyroid Carcinoma|Familial Nonmedullary Thyroid Cancer"
"MIR380","Cocaine Abuse|Respiratory Distress Syndrome, Adult|Cocaine-Related Disorders|Papillary thyroid carcinoma|Cocaine Dependence|Nonmedullary Thyroid Carcinoma|Familial Nonmedullary Thyroid Cancer"
"MIR381","Noise-induced hearing loss|Neoplasms, Experimental|Papillary thyroid carcinoma|Nonmedullary Thyroid Carcinoma|Familial Nonmedullary Thyroid Cancer"
"MIR382","Alcoholic Intoxication, Chronic|Neoplasms, Experimental|Schizophrenia|Papillary thyroid carcinoma|Nonmedullary Thyroid Carcinoma|Familial Nonmedullary Thyroid Cancer"
"MIR383","Hepatoma, Morris|Hepatoma, Novikoff|Liver Neoplasms, Experimental|Experimental Hepatoma"
"MIR384","Cocaine Abuse|Fatty Liver|Cocaine-Related Disorders|Cocaine Dependence|Steatohepatitis"
"MIR409","Carcinoid Tumor|Diabetes Mellitus, Non-Insulin-Dependent|Hepatoma, Morris|Hepatoma, Novikoff|Liver Neoplasms, Experimental|Lung Neoplasms|Precancerous Conditions|Experimental Hepatoma|Carcinoid, Goblet Cell|Papillary thyroid carcinoma|Malignant neoplasm of lung|Condition, Preneoplastic|Argentaffinoma|Nonmedullary Thyroid Carcinoma|Familial Nonmedullary Thyroid Cancer"
"MIR410","Carcinoid Tumor|Fatty Liver|Hepatitis, Toxic|Lung Neoplasms|Carcinoid, Goblet Cell|Papillary thyroid carcinoma|Malignant neoplasm of lung|Argentaffinoma|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Steatohepatitis|Nonmedullary Thyroid Carcinoma|Familial Nonmedullary Thyroid Cancer|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIR411","Cholestasis|Myocardial Reperfusion Injury|Papillary thyroid carcinoma|Nonmedullary Thyroid Carcinoma|Familial Nonmedullary Thyroid Cancer"
"MIR412","Papillary thyroid carcinoma|Nonmedullary Thyroid Carcinoma|Familial Nonmedullary Thyroid Cancer"
"MIR421","Hepatitis, Toxic|Liver Cirrhosis, Alcoholic|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIR423","Diabetes Mellitus, Non-Insulin-Dependent|Hepatitis, Toxic|Liver Cirrhosis, Alcoholic|Myocardial Infarction|Squamous cell carcinoma of esophagus|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIR424","Albuminuria"
"MIR425","Adenoma|Pulmonary Fibrosis|Adenoma, Basal Cell|Follicular adenoma|Adenoma, Microcystic|Adenoma, Monomorphic|Papillary adenoma|Adenoma, Trabecular|Alveolitis, Fibrosing"
"MIR429","Malignant neoplasm of breast|Noise-induced hearing loss|Hepatoma, Morris|Hepatoma, Novikoff|Liver Neoplasms, Experimental|Myocardial Reperfusion Injury|Pancreatitis|Experimental Hepatoma|Breast Carcinoma|Mammary Neoplasms, Human|Mammary Neoplasms|Mammary Carcinoma, Human"
"MIR431","Neoplasms, Experimental|Papillary thyroid carcinoma|Nonmedullary Thyroid Carcinoma|Familial Nonmedullary Thyroid Cancer"
"MIR432","Carcinoid Tumor|Diabetes Mellitus, Non-Insulin-Dependent|Lung Neoplasms|Schizophrenia|Carcinoid, Goblet Cell|Papillary thyroid carcinoma|Malignant neoplasm of lung|Argentaffinoma|Nonmedullary Thyroid Carcinoma|Familial Nonmedullary Thyroid Cancer"
"MIR4324","Malignant neoplasm of urinary bladder|Bladder Neoplasm|Carcinoma, Transitional Cell|Disease Exacerbation"
"MIR433","Myocardial Reperfusion Injury|Neoplasms, Experimental|Papillary thyroid carcinoma|Nonmedullary Thyroid Carcinoma|Familial Nonmedullary Thyroid Cancer"
"MIR4433B","Hepatitis, Toxic|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIR4435-2HG","Lung Neoplasms|Malignant neoplasm of lung"
"MIR4448","Hepatitis, Toxic|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIR4467","Alzheimer's Disease|Presenile dementia|Familial Alzheimer Disease (FAD)|Alzheimer Disease, Late Onset|Acute Confusional Senile Dementia|Alzheimer's Disease, Focal Onset|Alzheimer Disease, Early Onset"
"MIR4482","Diabetes Mellitus, Non-Insulin-Dependent"
"MIR4492","Hepatitis, Toxic|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIR449C","Fatty Liver|Steatohepatitis"
"MIR4507","Hepatitis, Toxic|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIR4516","Diabetes Mellitus, Non-Insulin-Dependent|Hepatitis, Toxic|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIR451A","Myocardial Reperfusion Injury"
"MIR452","Hepatitis, Toxic|Myocardial Reperfusion Injury|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIR455","Hepatitis B|Hepatitis, Toxic|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIR483","Diabetes Mellitus, Non-Insulin-Dependent|Hepatitis, Toxic|Hepatoma, Morris|Hepatoma, Novikoff|Liver Cirrhosis, Alcoholic|Liver Neoplasms, Experimental|Precancerous Conditions|Experimental Hepatoma|Condition, Preneoplastic|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIR484","Hepatitis, Toxic|Liver Cirrhosis, Alcoholic|Malignant mesothelioma|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIR485","Diabetes Mellitus, Non-Insulin-Dependent|Neoplasms, Experimental|Papillary thyroid carcinoma|Nonmedullary Thyroid Carcinoma|Familial Nonmedullary Thyroid Cancer"
"MIR486-1","Autism Spectrum Disorders"
"MIR487A","Papillary thyroid carcinoma|Nonmedullary Thyroid Carcinoma|Familial Nonmedullary Thyroid Cancer"
"MIR487B","Carcinoid Tumor|Diabetes Mellitus, Non-Insulin-Dependent|Lung Neoplasms|Neoplasms, Experimental|Carcinoid, Goblet Cell|Papillary thyroid carcinoma|Malignant neoplasm of lung|Argentaffinoma|Nonmedullary Thyroid Carcinoma|Familial Nonmedullary Thyroid Cancer"
"MIR488","Cocaine Abuse|Cocaine-Related Disorders|Cocaine Dependence"
"MIR489","Malignant neoplasm of breast|Breast Carcinoma|Mammary Neoplasms, Human|Mammary Neoplasms|Mammary Carcinoma, Human"
"MIR493","Myocardial Reperfusion Injury|Papillary thyroid carcinoma|Nonmedullary Thyroid Carcinoma|Familial Nonmedullary Thyroid Cancer"
"MIR494","Carcinoid Tumor|Lung Neoplasms|Carcinoid, Goblet Cell|Papillary thyroid carcinoma|Malignant neoplasm of lung|Argentaffinoma|Nonmedullary Thyroid Carcinoma|Familial Nonmedullary Thyroid Cancer"
"MIR495","Neoplasms, Experimental|Papillary thyroid carcinoma|Nonmedullary Thyroid Carcinoma|Familial Nonmedullary Thyroid Cancer"
"MIR496","Papillary thyroid carcinoma|Nonmedullary Thyroid Carcinoma|Familial Nonmedullary Thyroid Cancer"
"MIR497","Adenoma|Bronchioloalveolar Adenocarcinoma|Hepatitis, Toxic|Schizophrenia|Adenoma, Basal Cell|Follicular adenoma|Adenoma, Microcystic|Adenoma, Monomorphic|Papillary adenoma|Adenoma, Trabecular|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIR499A","Hepatitis, Toxic|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIR501","Uterine Cervical Neoplasm|cervical cancer"
"MIR503","Fatty Liver|Hepatitis, Toxic|Liver Cirrhosis|Myocardial Reperfusion Injury|Neoplasm Metastasis|Fibrosis, Liver|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Steatohepatitis|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIR505","Alzheimer's Disease|Presenile dementia|Hepatitis, Toxic|Hepatoma, Morris|Hepatoma, Novikoff|Liver Neoplasms, Experimental|Experimental Hepatoma|Familial Alzheimer Disease (FAD)|Alzheimer Disease, Late Onset|Acute Confusional Senile Dementia|Alzheimer's Disease, Focal Onset|Alzheimer Disease, Early Onset|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIR506","Azoospermia|Neoplasms, Experimental"
"MIR511","Carcinoid Tumor|Lung Neoplasms|Carcinoid, Goblet Cell|Malignant neoplasm of lung|Argentaffinoma"
"MIR5196","Hepatitis, Toxic|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIR519C","Neoplasm Metastasis"
"MIR520B","Liver carcinoma"
"MIR532","Malignant neoplasm of urinary bladder|Bladder Neoplasm|Carcinoma, Transitional Cell|Diabetes Mellitus, Non-Insulin-Dependent|Noise-induced hearing loss|Hepatitis, Toxic|Liver Cirrhosis, Alcoholic|Myocardial Reperfusion Injury|Neoplasm Invasiveness|Neoplasm Metastasis|Pancreatitis|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIR539","Hepatoma, Morris|Hepatoma, Novikoff|Liver Neoplasms, Experimental|Experimental Hepatoma|Papillary thyroid carcinoma|Liver carcinoma|Nonmedullary Thyroid Carcinoma|Familial Nonmedullary Thyroid Cancer"
"MIR542","Fatty Liver|Myocardial Reperfusion Injury|Steatohepatitis"
"MIR543","Uterine Cervical Neoplasm|Neoplasm Invasiveness|Papillary thyroid carcinoma|Nonmedullary Thyroid Carcinoma|Familial Nonmedullary Thyroid Cancer|cervical cancer"
"MIR548B","Pancreatitis"
"MIR5588","Hepatitis, Toxic|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIR564","Neoplasm Metastasis"
"MIR574","Hepatitis, Toxic|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIR582","Myocardial Reperfusion Injury"
"MIR589","Hepatitis, Toxic|Liver Cirrhosis, Alcoholic|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIR592","Hepatitis, Toxic|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIR595","Neoplasm Metastasis"
"MIR598","Hepatoma, Morris|Hepatoma, Novikoff|Liver Neoplasms, Experimental|Myocardial Reperfusion Injury|Experimental Hepatoma"
"MIR609","Pancreatitis"
"MIR615","Liver carcinoma"
"MIR625","Hepatitis, Toxic|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIR627","Hepatitis, Toxic|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIR628","Diabetes Mellitus, Non-Insulin-Dependent"
"MIR629","Hepatitis, Toxic|Liver Cirrhosis, Alcoholic|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIR638","Non-Small Cell Lung Carcinoma|Neoplastic Cell Transformation|Neoplasm Metastasis"
"MIR6500","Atrial Fibrillation|Paroxysmal atrial fibrillation|Persistent atrial fibrillation|familial atrial fibrillation"
"MIR651","Hepatitis, Toxic|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIR652","Hepatoma, Morris|Hepatoma, Novikoff|Liver Neoplasms, Experimental|Precancerous Conditions|Experimental Hepatoma|Condition, Preneoplastic"
"MIR654","Neoplastic Cell Transformation|Neoplasms, Experimental|Papillary thyroid carcinoma|Nonmedullary Thyroid Carcinoma|Familial Nonmedullary Thyroid Cancer"
"MIR655","Papillary thyroid carcinoma|Nonmedullary Thyroid Carcinoma|Familial Nonmedullary Thyroid Cancer"
"MIR656","Papillary thyroid carcinoma|Nonmedullary Thyroid Carcinoma|Familial Nonmedullary Thyroid Cancer"
"MIR660","Hepatitis, Toxic|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIR665","Cocaine Abuse|Cocaine-Related Disorders|Cocaine Dependence"
"MIR671","Hepatoma, Morris|Hepatoma, Novikoff|Liver Neoplasms, Experimental|Experimental Hepatoma"
"MIR6741","Diabetes Mellitus, Non-Insulin-Dependent|Hepatitis, Toxic|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIR6803","Diabetes Mellitus, Non-Insulin-Dependent"
"MIR6815","Hepatitis, Toxic|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIR6852","Hepatitis, Toxic|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIR6881","Hepatitis B"
"MIR708","Alzheimer's Disease|Presenile dementia|Hepatoma, Morris|Hepatoma, Novikoff|Liver Neoplasms, Experimental|Experimental Hepatoma|Familial Alzheimer Disease (FAD)|Alzheimer Disease, Late Onset|Acute Confusional Senile Dementia|Alzheimer's Disease, Focal Onset|Alzheimer Disease, Early Onset"
"MIR744","Diabetes Mellitus, Non-Insulin-Dependent|Hepatitis, Toxic|Myocardial Reperfusion Injury|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIR758","Myocardial Reperfusion Injury|Neoplasms, Experimental|Papillary thyroid carcinoma|Nonmedullary Thyroid Carcinoma|Familial Nonmedullary Thyroid Cancer"
"MIR760","Hepatoma, Morris|Hepatoma, Novikoff|Liver Neoplasms, Experimental|Experimental Hepatoma"
"MIR761","Myocardial Infarction|Ventricular Dysfunction, Left"
"MIR764","Hepatitis, Toxic|Liver Cirrhosis|Fibrosis, Liver|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIR766","Alzheimer's Disease|Presenile dementia|Hepatitis, Toxic|Familial Alzheimer Disease (FAD)|Alzheimer Disease, Late Onset|Acute Confusional Senile Dementia|Alzheimer's Disease, Focal Onset|Alzheimer Disease, Early Onset|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIR770","Neoplasms, Experimental|Papillary thyroid carcinoma|Nonmedullary Thyroid Carcinoma|Familial Nonmedullary Thyroid Cancer"
"MIR7704","Diabetes Mellitus, Non-Insulin-Dependent|Hepatitis, Toxic|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIR7977","Hepatitis, Toxic|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIR802","Down Syndrome|Down Syndrome, Partial Trisomy 21|Trisomy 21, Meiotic Nondisjunction|Trisomy 21, Mitotic Nondisjunction"
"MIR8061","Diabetes Mellitus, Non-Insulin-Dependent"
"MIR873","Carcinoma, Pancreatic Ductal|Triple Negative Breast Neoplasms"
"MIR874","Neoplasm Invasiveness"
"MIR875","Cholestasis"
"MIR877","Neoplastic Cell Transformation|Hepatitis, Toxic|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIR885","Diabetes Mellitus, Non-Insulin-Dependent|Hepatitis B|Hepatitis, Toxic|Liver Cirrhosis|Liver Cirrhosis, Alcoholic|Neoplasm Metastasis|Disease Exacerbation|Fibrosis, Liver|Hepatitis B, Chronic|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Liver carcinoma|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIR889","Papillary thyroid carcinoma|Nonmedullary Thyroid Carcinoma|Familial Nonmedullary Thyroid Cancer"
"MIR9-1","Neurobehavioral Manifestations"
"MIR92A1","Multiple Myeloma"
"MIR92B","Neoplastic Cell Transformation|Diabetes Mellitus, Non-Insulin-Dependent|Hepatoma, Morris|Hepatoma, Novikoff|Liver Neoplasms, Experimental|Precancerous Conditions|Experimental Hepatoma|Condition, Preneoplastic"
"MIR93","Colorectal Carcinoma|Colorectal Neoplasms|Hepatitis, Toxic|Liver Cirrhosis, Alcoholic|Osteosarcoma|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIR938","Carcinoid Tumor|Lung Neoplasms|Carcinoid, Goblet Cell|Malignant neoplasm of lung|Argentaffinoma"
"MIR939","Diabetes Mellitus, Non-Insulin-Dependent"
"MIR940","Neoplasm Invasiveness"
"MIR942","Liver Cirrhosis|Fibrosis, Liver"
"MIR96","Neoplasm Metastasis|Retinal Diseases|hearing impairment|DEAFNESS, AUTOSOMAL DOMINANT 50"
"MIR98","Malignant tumor of colon|Colonic Neoplasms|Diabetes Mellitus, Non-Insulin-Dependent|Esophageal Neoplasms|Hepatoma, Morris|Hepatoma, Novikoff|Liver Neoplasms, Experimental|Lung Neoplasms|Precancerous Conditions|Experimental Hepatoma|Malignant neoplasm of lung|Condition, Preneoplastic|Malignant neoplasm of esophagus|Carcinoma, Ovarian Epithelial"
"MIR99A","Malignant neoplasm of urinary bladder|Bladder Neoplasm|Carcinoma, Transitional Cell|Cholestasis|Down Syndrome|Hepatitis B|Hepatitis, Toxic|Kidney Failure, Acute|Neoplasm Metastasis|Respiratory Distress Syndrome, Adult|Disease Exacerbation|Down Syndrome, Partial Trisomy 21|Trisomy 21, Meiotic Nondisjunction|Trisomy 21, Mitotic Nondisjunction|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Acute Kidney Insufficiency|Acute kidney injury|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIR99B","Neoplastic Cell Transformation|Noise-induced hearing loss|Hepatoma, Morris|Hepatoma, Novikoff|Liver Neoplasms, Experimental|Neoplasm Metastasis|Precancerous Conditions|Experimental Hepatoma|Condition, Preneoplastic"
"MIRLET7B","Cholestasis|Hepatitis, Toxic|Hepatoma, Morris|Hepatoma, Novikoff|Liver Neoplasms, Experimental|Precancerous Conditions|Respiratory Distress Syndrome, Adult|Experimental Hepatoma|Condition, Preneoplastic|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIRLET7BHG","Lung Neoplasms|Malignant neoplasm of lung"
"MIRLET7C","Neoplastic Cell Transformation|Down Syndrome|Hepatitis B|Hepatitis, Toxic|Down Syndrome, Partial Trisomy 21|Trisomy 21, Meiotic Nondisjunction|Trisomy 21, Mitotic Nondisjunction|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIRLET7D","Diabetes Mellitus, Non-Insulin-Dependent|Hepatitis, Toxic|Hepatoma, Morris|Hepatoma, Novikoff|Liver Neoplasms, Experimental|Precancerous Conditions|Respiratory Distress Syndrome, Adult|Experimental Hepatoma|Condition, Preneoplastic|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIRLET7E","Hepatoma, Morris|Hepatoma, Novikoff|Liver Neoplasms, Experimental|Experimental Hepatoma"
"MIRLET7G","Hepatitis, Toxic|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIRLET7I","Cholestasis|Hepatitis, Toxic|Hepatoma, Morris|Hepatoma, Novikoff|Kidney Failure, Acute|Liver Neoplasms, Experimental|Myocardial Reperfusion Injury|Experimental Hepatoma|Drug-Induced Liver Disease|Hepatitis, Drug-Induced|Acute Kidney Insufficiency|Acute kidney injury|Drug-Induced Acute Liver Injury|Chemical and Drug Induced Liver Injury|Chemically-Induced Liver Toxicity"
"MIS12","Liver Cirrhosis, Experimental"
