"marker_symbol","impc_significant_parameter_name","gene_id"
"Kmt2c","Viability Outcome|Spleen|Retina (combined)","231051"
"Kmt2d","Chloride|Magnesium|Red blood cell count|Alpha-amylase|Mean corpuscular hemoglobin|White blood cell count|Sodium|Body length","381022"
"Kmt2e","Lean/Body weight|Mean corpuscular hemoglobin|Urea (Blood Urea Nitrogen - BUN)|Fat/Body weight|Mean cell hemoglobin concentration|Startle response|Red blood cell distribution width|Red blood cell count|Hematocrit","69188"
"Kmt5b","Kidney - MPATH process term|Liver - MPATH process term|Viability Outcome","225888"
"Kng2","Lean mass|Transfer arousal|Fat mass","385643"
"Knl1","Lens Opacity|Viability Outcome|Lens","76464"
"Knop1","Chloride|Testes - MPATH process term|Total bilirubin|Tremor|Epididymis - MPATH process term","66356"
"Knstrn","Mean cell volume|Glucose|Platelet count|Mean corpuscular hemoglobin|Red blood cell count|Tremor|Cornea|Seminal vesicle|Corneal ulcer","51944"
"Kntc1","Viability Outcome|Narrow eye opening|Fasted blood glucose concentration|Latency to first transition into dark|Learning slope","208628"
"Kpna2","Testes|Eye with optic nerve|Gross Findings Female|Kidney|Gross Findings Male|Center resting time|Nasal cavity - MPATH process term|Viability Outcome","16647"
"Kpna4","Forelimb and hindlimb grip strength measurement mean|Forelimb grip strength normalised against body weight|Forelimb and hindlimb grip strength normalised against body weight|Forelimb grip strength measurement mean|Total holepokes|RR|Response amplitude - S|Heart weight","16649"
"Kptn","Ovary - MPATH process term|Lymph node - MPATH process term","70394"
"Kri1","Viability Outcome|Outcome|Time mobile dark side","215194"
"Krit1","Embryo turning|Pallor|Viability Outcome|Otic vesicle morphology|Delayed embryonic development|Chorioallantoic fusion|Somite Morphology|Branchial arch morphology|Heart|Neural tube morphology|Heart looping|Pericardium Morphology|Heart morphology|Hindbrain|Left-right axis patterning|Forebrain|Allantois Morphology|Midbrain|Optic vesicle morphology|Visceral yolk sac morphology|Vascular morphology|Pale yolk sac|Eye with optic nerve|Embryo Size|Neural tube closure|HDL-cholesterol|Vitelline vasculature morphology","79264"
"Krt14","Viability Outcome","16664"
"Krt17","Hemoglobin","16667"
"Krt2","Testes|Viability Outcome|Kidney","16681"
"Krt2","Testes|Viability Outcome|Kidney","108192"
"Krt2","Testes|Viability Outcome|Kidney","111452"
"Krt25","Forelimb grip strength measurement mean|Forelimb and hindlimb grip strength normalised against body weight|Forelimb and hindlimb grip strength measurement mean|Vocalization|Forelimb grip strength normalised against body weight","70810"
"Krt26","Hindlimb digit - size|Body weight|Seminal vesicle|Lean/Body weight|Heart weight|Mean platelet volume|Bone Mineral Density (excluding skull)","320864"
"Krt27","Thymus|Lymph node|Skin|Lordosis|Heart|Digit integrity|Seminal vesicle","16675"
"Krt28","Seminal vesicle|Lymph node|Digit integrity","70843"
"Krt31","Dorsal coat/hair appearance|Ventral coat/hair appearance","16660"
"Krt32","BMC/Body weight|Body weight|Bone Mineral Content (excluding skull)|Hemoglobin|Seminal vesicle","16670"
"Krt33a","Thymus|Digit integrity|Whole liver weight","71888"
"Krt33b","Thymus|Testes|Mean platelet volume|Digit integrity|Kidney|Neutrophil cell count","16671"
"Krt35","LDL-cholesterol|12kHz-evoked ABR Threshold|Seminal vesicle|Bone Area|Body weight|Coat - color pattern - back|Coat - color - back","53617"
"Krt5","Lymph node|Viability Outcome","110308"
"Krt7","Free fatty acids|Calcium|HDL-cholesterol","110310"
"Krt72","Liver|Skin|Digit integrity|Shape of spine|Thymus|Urinary bladder|Kyphosis|Uterus|Spleen|Testes|Eye with optic nerve","105866"
"Krt74","Response amplitude - S","406222"
"Krt75","Cue Baseline % Freezing Time|Lean mass|Red blood cell distribution width","109052"
"Krt76","Skin - MPATH process term","77055"
"Krt77","Side changes|Bone Mineral Content (excluding skull)|Bone Mineral Density (excluding skull)|BMC/Body weight","406220"
"Krt79","Urea (Blood Urea Nitrogen - BUN)","223917"
"Krt8","Respiratory Exchange Ratio|Viability Outcome|Initial response to glucose challenge","16691"
"Krt8","Respiratory Exchange Ratio|Viability Outcome|Initial response to glucose challenge","406219"
"Krt80","Corneal opacity|Lens|Platelet count|Glucose|Alkaline phosphatase","74127"
"Krt86","Skin|Lens Opacity","16678"
"Krt86","Skin|Lens Opacity","16679"
"Krt88","Free fatty acids|BMC/Body weight|Total food intake","66322"
"Krt9","Sleep bout lengths standard deviation|Insulin|Mean cell hemoglobin concentration|Light sleep bout lengths standard deviation","107656"
"Krt90","Forelimb and hindlimb grip strength measurement mean|Gait","239673"
"Krtap17-1","Skin|Center distance travelled|Whole arena average speed|Total cholesterol|Calcium|Number of rears - total|Periphery distance travelled|Lean/Body weight|Heart|Coat - hair distribution - abdomen|Bone Mineral Density (excluding skull)|Distance travelled - total|Coat - hair texture / appearance - abdomen|Fat/Body weight|Coat - hair distribution - back|Coat - hair texture / appearance - head|Insulin|HDL-cholesterol|Cholesterol ratio|Glucose|Coat - hair distribution - head|Coat - hair texture / appearance - back|Basophil differential count|Triglycerides|Whole arena resting time|Periphery average speed","77914"
"Krtap8-1","Lactate dehydrogenase|T cells (Panel A) - % of live leukocytes (Panel A)|Alanine aminotransferase|Heart|Lordosis|CD4+ T helper cells - % of live leukocytes (Panel A)|CD4+ NKT cells - % of live leukocytes (Panel A)|Effector CD4+ NKT cells - % of live leukocytes (Panel A)|Uterus|Resting CD4+ T helper cells - % of live leukocytes (Panel A)|NKT cells (panel A) - % of live leukocytes (Panel A)|CD4 T cells - % of live leukocytes (Panel A)|Digit integrity","16703"
"Krtcap2","18kHz-evoked ABR Threshold","66059"
"Kti12","BMC/Body weight|Lean/Body weight|Fat mass|Outcome|Fat/Body weight|Bone Mineral Content (excluding skull)|Viability Outcome|Lean mass|Forelimb grip strength normalised against body weight|Bone Mineral Density (excluding skull)","100087"
"Kyat1","Periphery distance travelled|Skin color - tail|Fat mass","70266"
"L2hgdh","Gross Findings Male|Total protein|Lens Opacity|Locomotor activity","217666"
"L3mbtl2","Transitional vertebrae|Viability Outcome|Iron","214669"
"L3mbtl3","Polydactyly|Skin|Lymphocyte cell count|Edema|Percentage center time|Craniofacial morphology|Center resting time|Embryo Size|Periphery permanence time|Center permanence time","237339"
"L3mbtl4","Testis - MPATH pathological process term|Lymphocyte cell count|White blood cell count|rMSSD","320858"
"Lactb","Total cholesterol|Persistence of hyaloid vascular system|Center resting time|Bone Mineral Density (excluding skull)|rMSSD|HRV|Retina (combined)|Heart|Retinal Blood Vessels|Retinal Blood Vessels Pattern|CV","80907"
"Lama1","Fat mass|Retina (combined)|Mean right eye lens density|Response amplitude - S|Viability Outcome|Max left eye lens density|Mean left eye lens density|Persistence of hyaloid vascular system|Min left eye lens density","16772"
"Lama4","Corneal opacity|Heart weight|Skin|Coat - color pattern - abdomen|Insulin|Total cholesterol|Spleen weight","16775"
"Lama5","Viability Outcome|Initial response to glucose challenge|Heart","16776"
"Lamb3","Hematocrit|Tooth - MPATH process term|Skin|Lower teeth appearance|Mean cell hemoglobin concentration|Upper teeth appearance","16780"
"Lamp1","Heart|Kidney|Phosphorus|Spleen","16783"
"Lamp3","Skin|Sternum|Lymph node|Epididymis","239739"
"Lamtor1","Epididymis|Ovary|Testes|Outcome|Viability Outcome|Uterus","66508"
"Lamtor3","Viability Outcome","56692"
"Lamtor4","Total protein|Thyroid|Embryo Size|Shape of ribs|Mean platelet volume|Response amplitude - S|Center average speed|Periphery permanence time|Percentage center time|Outcome|Center resting time|Center permanence time","66096"
"Lamtor5","Sodium|Skin color - tail|Outcome|Bone Mineral Content (excluding skull)","68576"
"Lancl2","Kidney|Heart","71835"
"Laptm4a","Fasted blood glucose concentration|Left total retinal thickness|ST|Tibia length|% Pre-pulse inhibition - PPI3|Area under glucose response curve|QT|% Pre-pulse inhibition - PPI4|% Pre-pulse inhibition - Global|Right total retinal thickness","17775"
"Laptm4b","Hindbrain morphology|Forelimb grip strength measurement mean|Neural Tube Closure|% Pre-pulse inhibition - PPI3|rMSSD|% Pre-pulse inhibition - Global|Craniofacial morphology|Eye Morphology|% Pre-pulse inhibition - PPI4|Edema|CV|Embryo Size|Midbrain morphology","114128"
"Large2","Retinal Blood Vessels","228366"
"Larp1","Delayed embryonic development|Seminal vesicle|Skin|Spleen|Heart|Viability Outcome|Mean platelet volume|Urinary bladder|Total cholesterol|Kidney|Liver|Testes","73158"
"Larp4b","Mean platelet volume|Hematocrit|Hemoglobin|Red blood cell count","217980"
"Larp6","Sodium|Skin|Seminal vesicle|Eye with optic nerve|Triglycerides","67557"
"Lars","Glucose|Viability Outcome","107045"
"Lars","Glucose|Viability Outcome","269033"
"Lat","Left vitreous humour thickness|Startle response","16797"
"Lats1","Center average speed|Forelimb grip strength normalised against body weight|Forelimb grip strength measurement mean|Forelimb and hindlimb grip strength normalised against body weight|BMC/Body weight|Periphery distance travelled|Bone Mineral Content (excluding skull)|Bone Mineral Density (excluding skull)|Lean mass|Neutrophil cell count","16798"
"Lbp","BMC/Body weight|Fasted blood glucose concentration","16803"
"Lca5l","Gross Findings Male|Phosphorus|Platelet count|Total bilirubin","385668"
"Lce1f","Bone Area|Bone Mineral Content (excluding skull)|BMC/Body weight","67828"
"Lclat1","Mean cell volume|Total cholesterol|Alkaline phosphatase|Area under glucose response curve|Mean corpuscular hemoglobin","225010"
"Lcmt1","Alpha-amylase|Number of center entries|Alanine aminotransferase|Viability Outcome|Heart","30949"
"Lcn10","Number of rears - total","332578"
"Lcn2","Heart weight|microAlbumin (calculated)","16819"
"Lcp1","Viability Outcome|Fasted blood glucose concentration","18826"
"Lcp2","Center permanence time|Percentage center time|Center distance travelled|Periphery permanence time|Lens Opacity|Left vitreous humour thickness|Lens|Center resting time|Viability Outcome|Percentage center movement time","16822"
"Ldah","Max left eye lens density|Max right eye lens density|Mean right eye lens density","68832"
"Ldb3","Seminal vesicle|Viability Outcome|Kidney|QRS","16826"
"Ldb3","Seminal vesicle|Viability Outcome|Kidney|QRS","24131"
"Ldha","Spleen - MPATH diagnostic term|Spleen - MPATH process term","16828"
"Ldhal6b","Center distance travelled|12kHz-evoked ABR Threshold|RR|HR","106557"
"Ldhb","Insulin|Lean mass|Forelimb and hindlimb grip strength normalised against body weight|Fat mass|Total protein|Startle response|Bone Mineral Density (excluding skull)|BMC/Body weight|Lean/Body weight|Fat/Body weight|Bone Mineral Content (excluding skull)|HDL-cholesterol","16832"
"Ldlr","Forelimb and hindlimb grip strength normalised against body weight|HDL-cholesterol|Mean cell volume|UIBC (unsaturated iron binding capacity)|Iron|Total cholesterol|Forelimb and hindlimb grip strength measurement mean","16835"
"Ldlrad1","Left corneal thickness|Skin color - tail","546840"
"Ldlrad4","Bone Mineral Density (excluding skull)|Bone Mineral Content (excluding skull)","52662"
"Lef1","% Pre-pulse inhibition - PPI2|Heart|Craniofacial morphology|Insulin|% Pre-pulse inhibition - PPI3|Viability Outcome","16842"
"Lefty1","Gait|Viability Outcome|Potassium|Whole arena resting time|Lean mass","13590"
"Lemd2","Outcome|Spleen","224640"
"Leo1","Viability Outcome|Glucose|Iron","235497"
"Lep","QRS|RR|Fasted blood glucose concentration|Periphery distance travelled|Response amplitude - S|HR|Right inner nuclear layer|Locomotor activity|Left total retinal thickness|Forelimb grip strength normalised against body weight|Coat - hair texture / appearance - back|Gross Findings Male|Forelimb grip strength measurement mean|Forelimb and hindlimb grip strength normalised against body weight|Periphery average speed|Tibia length|Cardiac Output|Heart weight|Forelimb and hindlimb grip strength measurement mean|Area under glucose response curve|Gross Findings Female|Coat - hair texture / appearance - head|Number of rears - total|Left posterior chamber depth|Right total retinal thickness|Stroke Volume|Distance travelled - total|Whole arena average speed","14789"
"Lep","QRS|RR|Fasted blood glucose concentration|Periphery distance travelled|Response amplitude - S|HR|Right inner nuclear layer|Locomotor activity|Left total retinal thickness|Forelimb grip strength normalised against body weight|Coat - hair texture / appearance - back|Gross Findings Male|Forelimb grip strength measurement mean|Forelimb and hindlimb grip strength normalised against body weight|Periphery average speed|Tibia length|Cardiac Output|Heart weight|Forelimb and hindlimb grip strength measurement mean|Area under glucose response curve|Gross Findings Female|Coat - hair texture / appearance - head|Number of rears - total|Left posterior chamber depth|Right total retinal thickness|Stroke Volume|Distance travelled - total|Whole arena average speed","16846"
"Lep","QRS|RR|Fasted blood glucose concentration|Periphery distance travelled|Response amplitude - S|HR|Right inner nuclear layer|Locomotor activity|Left total retinal thickness|Forelimb grip strength normalised against body weight|Coat - hair texture / appearance - back|Gross Findings Male|Forelimb grip strength measurement mean|Forelimb and hindlimb grip strength normalised against body weight|Periphery average speed|Tibia length|Cardiac Output|Heart weight|Forelimb and hindlimb grip strength measurement mean|Area under glucose response curve|Gross Findings Female|Coat - hair texture / appearance - head|Number of rears - total|Left posterior chamber depth|Right total retinal thickness|Stroke Volume|Distance travelled - total|Whole arena average speed","56401"
"Lep","QRS|RR|Fasted blood glucose concentration|Periphery distance travelled|Response amplitude - S|HR|Right inner nuclear layer|Locomotor activity|Left total retinal thickness|Forelimb grip strength normalised against body weight|Coat - hair texture / appearance - back|Gross Findings Male|Forelimb grip strength measurement mean|Forelimb and hindlimb grip strength normalised against body weight|Periphery average speed|Tibia length|Cardiac Output|Heart weight|Forelimb and hindlimb grip strength measurement mean|Area under glucose response curve|Gross Findings Female|Coat - hair texture / appearance - head|Number of rears - total|Left posterior chamber depth|Right total retinal thickness|Stroke Volume|Distance travelled - total|Whole arena average speed","56693"
"Lep","QRS|RR|Fasted blood glucose concentration|Periphery distance travelled|Response amplitude - S|HR|Right inner nuclear layer|Locomotor activity|Left total retinal thickness|Forelimb grip strength normalised against body weight|Coat - hair texture / appearance - back|Gross Findings Male|Forelimb grip strength measurement mean|Forelimb and hindlimb grip strength normalised against body weight|Periphery average speed|Tibia length|Cardiac Output|Heart weight|Forelimb and hindlimb grip strength measurement mean|Area under glucose response curve|Gross Findings Female|Coat - hair texture / appearance - head|Number of rears - total|Left posterior chamber depth|Right total retinal thickness|Stroke Volume|Distance travelled - total|Whole arena average speed","66180"
"Lep","QRS|RR|Fasted blood glucose concentration|Periphery distance travelled|Response amplitude - S|HR|Right inner nuclear layer|Locomotor activity|Left total retinal thickness|Forelimb grip strength normalised against body weight|Coat - hair texture / appearance - back|Gross Findings Male|Forelimb grip strength measurement mean|Forelimb and hindlimb grip strength normalised against body weight|Periphery average speed|Tibia length|Cardiac Output|Heart weight|Forelimb and hindlimb grip strength measurement mean|Area under glucose response curve|Gross Findings Female|Coat - hair texture / appearance - head|Number of rears - total|Left posterior chamber depth|Right total retinal thickness|Stroke Volume|Distance travelled - total|Whole arena average speed","210530"
"Lepr","Alanine aminotransferase|Liver|Aspartate aminotransferase|Periphery average speed|HDL-cholesterol|Glucose|Hemoglobin|Albumin|Calcium|Spleen weight|Chloride|Hematocrit|Gross Findings Female|Total protein|Platelet count|Fat mass|Whole arena average speed|Mean cell volume|Limb grasp|Gross Findings Male|Skeletal muscle - MPATH process term|Total bilirubin|Liver - MPATH process term|Lean mass|Center distance travelled|Pancreas - MPATH process term|Gait|Total cholesterol|Distance travelled - total|Periphery distance travelled|Iron|Lymphocyte differential count|BMC/Body weight|Mean corpuscular hemoglobin|Seminal vesicle|Lean/Body weight|Potassium|Lymphocyte cell count|Heart weight|Number of center entries|Contact righting|Bone Mineral Content (excluding skull)|Fructosamine|Whole arena resting time|Tremor|Locomotor activity|Neutrophil differential count|Trunk curl|Fat/Body weight|Skin - MPATH process term|Bone Mineral Density (excluding skull)|White blood cell count|Bone Area|Monocyte differential count|Mean platelet volume|Phosphorus|Latency to center entry|Center average speed|Activity (body position)|Alkaline phosphatase","16847"
"Leprot","Total food intake|Alkaline phosphatase|BMC/Body weight|Fat/Body weight|Fat mass|Bone Mineral Content (excluding skull)|Lean mass|Lean/Body weight","230514"
"Leprotl1","Total cholesterol|Center resting time|Eosinophil differential count|Periphery permanence time|Center permanence time|LVAWs|HR|Alkaline phosphatase|Limb grasp|Percentage center time|End-Systolic Diameter|Center average speed|LVIDs|Spleen weight|HDL-cholesterol","68192"
"Letmd1","Fasted blood glucose concentration","68614"
"Lgals4","Whole arena average speed|Distance travelled - total","16855"
"Lgals7","Free fatty acids|Glycerol","16858"
"Lgi3","Center resting time|Kidney|Skin|Total cholesterol|Cue Baseline % Freezing Time|Spleen|Response amplitude - S|% Pre-pulse inhibition - PPI1","213469"
"Lgi4","Viability Outcome|Periphery permanence time|Center distance travelled|Center permanence time|Percentage center time","243914"
"Lgmn","Lymphocyte cell count|% Pre-pulse inhibition - PPI3|Tibia length|White blood cell count|Percentage center movement time|Monocyte cell count|Center distance travelled|Body length","19141"
"Lgr5","Viability Outcome|Forelimb grip strength measurement mean|Cleft palate|Spontaneous movement|Forelimb grip strength normalised against body weight","14160"
"Lhcgr","Thymus|Lung|Stomach|Liver|Spleen|Area under glucose response curve|Brain|Heart|Eosinophil differential count|White blood cell count","16867"
"Lhfp","Heart|Percentage center time|Eye with optic nerve|Periphery permanence time|Percentage center movement time|Center permanence time|Skin|Response amplitude - S","108927"
"Lhfp","Heart|Percentage center time|Eye with optic nerve|Periphery permanence time|Percentage center movement time|Center permanence time|Skin|Response amplitude - S","237091"
"Lhfpl1","Mean cell hemoglobin concentration|Seminal vesicle|Mean cell volume|Testis - MPATH pathological process term","237091"
"Lhfpl4","Calcium|Triglycerides","269788"
"Lhx5","Thymus|Digit integrity|Spleen|Seminal vesicle|Heart|Tooth","16873"
"Lhx6","Viability Outcome|Fat/Body weight|Total cholesterol|HDL-cholesterol","16874"
"Lifr","Brain|Periphery average speed|Viability Outcome|Periphery distance travelled|Red blood cell distribution width","16880"
"Lilr4b","Lean mass","14727"
"Lima1","Head morphology|Viability Outcome|Teeth presence|Initial response to glucose challenge|% Pre-pulse inhibition - PPI3|Hematocrit|% Pre-pulse inhibition - PPI4","65970"
"Limch1","Distance travelled - total|Retina (combined)|Whole arena resting time|Forelimb and hindlimb grip strength measurement mean|Whole arena average speed|Viability Outcome","77569"
"Limd1","Alkaline phosphatase|PR|Body weight|Bone Mineral Density (excluding skull)|Forelimb grip strength measurement mean|Forelimb and hindlimb grip strength measurement mean","29806"
"Lin28b","Breath rate during sleep standard deviation|RR|HR|Side changes|mA threshold inducing clonic seizure","380669"
"Lin52","Viability Outcome","217708"
"Lingo2","Bone Area|Fat mass|Lean mass|Response amplitude - S|Uterus|Response amplitude - PP3_S|Conditioning Baseline % Freezing Time|Lean/Body weight|Body weight|Bone Mineral Content (excluding skull)|Liver","242384"
"Lins1","Viability Outcome","72635"
"Lipe","Gross Findings Male|Lean/Body weight|Brain weight|Heart|Bone Mineral Density (excluding skull)","16890"
"Lipm","Viability Outcome|Side changes","78753"
"Lipn","Glucose","70166"
"Lipt1","Spleen","623661"
"Llcfc1","Gross Findings Male","76606"
"Llgl2","Center distance travelled|Viability Outcome","217325"
"Lmbrd1","Mean corpuscular hemoglobin|Outcome|Response amplitude - S|Mean cell hemoglobin concentration|Triglycerides|Glucose|Embryo Size","68421"
"Lmcd1","Bone Area|Body length","30937"
"Lmna","Tibia length|Viability Outcome|Heart weight|Corneal ulcer","16905"
"Lmnb1","Liver - MPATH process term","16906"
"Lmnb2","Lymph node - MPATH process term|Liver - MPATH process term","16907"
"Lmo1","Whole arena resting time|Retina (combined)|LVIDs|Ejection Fraction|Periphery resting time|Number of rears - total|Fractional Shortening","109594"
"Lmod3","Heart|% Pre-pulse inhibition - PPI2|Eye with optic nerve|Fat/Body weight|Skeletal muscle|Response amplitude - S|Forelimb grip strength normalised against body weight|Bone Mineral Content (excluding skull)|Hemoglobin|Forelimb and hindlimb grip strength normalised against body weight|Spleen|Kidney|Lymph node|Forelimb and hindlimb grip strength measurement mean|Area under glucose response curve|Alanine aminotransferase|Creatinine|Hematocrit|Cue Baseline % Freezing Time|Fat mass|Forelimb grip strength measurement mean|Albumin|Thymus|Gait|Total holepokes|Lean/Body weight|Lean mass|Skin|Total cholesterol|Coat - color pattern - back|Platelet count|Urinary bladder|Mean platelet volume|Triglycerides|% Pre-pulse inhibition - PPI3|Body length|% Pre-pulse inhibition - Global|Adrenal gland|Coat - color pattern - head|Lymphocyte differential count|% Pre-pulse inhibition - PPI1|Bone Mineral Density (excluding skull)|Uterus|Red blood cell count|Vocalization|Startle response","320502"
"Lmtk2","Kidney|Heart|Testes|Gross Findings Male|Cue Baseline % Freezing Time","231876"
"Lncenc1","Fat mass","100039691"
"Lnpep","Center distance travelled|Seminal vesicle|Percentage center movement time|Locomotor activity|Number of center entries|Center permanence time|Whole arena average speed|Fasted blood glucose concentration|Periphery resting time|Whole arena resting time|Percentage center time|Periphery permanence time|Number of rears - total|Distance travelled - total","240028"
"Lonp1","% Pre-pulse inhibition - Global|% Pre-pulse inhibition - PPI3","74142"
"Lonrf2","Urea (Blood Urea Nitrogen - BUN)|Phosphorus","381338"
"Lonrf3","Albumin|Calcium|Magnesium|Free fatty acids|White blood cell count","74365"
"Lor","Uterus|Testes|Skin|Viability Outcome|Vibrissae - appearance|Spleen|Heart|Liver","16939"
"Lox","Spleen|Craniofacial morphology|Heart weight|Edema|Skin|Placenta Morphology|Kidney|Viability Outcome","16948"
"Loxl1","Breath rate during sleep mean|mA threshold inducing clonic seizure|Fasted blood glucose concentration|ST|Retina (combined)|Breath rate during sleep standard deviation","16949"
"Loxl4","Center distance travelled","67573"
"Lpar1","Viability Outcome","14745"
"Lpar4","Forelimb and hindlimb grip strength normalised against body weight|Forelimb and hindlimb grip strength measurement mean|Magnesium|% Pre-pulse inhibition - PPI1","78134"
"Lpar6","Hemoglobin|Free fatty acids","67168"
"Lpcat1","Pupil Light Response|Retina (combined)|Eye with optic nerve - MPATH process term|Whole arena resting time|Retinal Blood Vessels|Periphery average speed|Pupil Dilation|Periphery distance travelled","210992"
"Lpcat2","Periphery distance travelled","270084"
"Lpcat2b","Corneal deposits","70902"
"Lpgat1","Whole arena average speed|Number of rears - total|BMC/Body weight|Viability Outcome|Distance travelled - total|Fecal boli|Periphery average speed|Bone Mineral Content (excluding skull)|Bone Mineral Density (excluding skull)|Total holepokes|PR|Periphery distance travelled","226856"
"Lpin2","Sternum - MPATH pathological process term|Mean cell hemoglobin concentration|Bone marrow - MPATH pathological process term|Spleen - MPATH pathological process term|Lymph node|Mean platelet volume|Skeletal muscle - MPATH pathological process term|Brain - MPATH pathological process term|Mean corpuscular hemoglobin|Heart - MPATH pathological process term|% Pre-pulse inhibition - PPI2|Red blood cell distribution width|Uterus|Basophil differential count","64898"
"Lpo","Mean right eye lens density|Max right eye lens density|Mean left eye lens density|Respiration Rate|Left total retinal thickness|Max left eye lens density|Albumin","76113"
"Lpp","Liver|Body weight|Center distance travelled|Phosphorus","210126"
"Lpxn","Glucose","107321"
"Lrat","Viability Outcome","79235"
"Lratd2","CD8 CD25+ T cells|B2B Cells|Respiratory Exchange Ratio|Eosinophils|Total protein","399603"
"Lrba","Startle response|Calcium|HDL-cholesterol|Alpha-amylase|Chloride|Total cholesterol|Albumin|Red blood cell distribution width|Alkaline phosphatase|Pinna position|Urea (Blood Urea Nitrogen - BUN)|Total protein","80877"
"Lrch1","Initial response to glucose challenge","380916"
"Lrch2","Eye with optic nerve|Total protein","210297"
"Lrfn2","Fasted blood glucose concentration","70530"
"Lrfn3","Testes","233067"
"Lrig1","Skin - MPATH diagnostic term|Skin - MPATH process term","16206"
"Lrit3","Periphery distance travelled|Percent time in dark|Number of center entries|Center distance travelled|Difference in Context and Conditioning Baseline % Freezing|Distance travelled - total|Epididymis|Red blood cell distribution width|Percent time in light|Periphery average speed|Periphery permanence time|Percentage center movement time|Center permanence time|Center resting time|Whole arena average speed|Percentage center time","242235"
"Lrmda","Forelimb grip strength measurement mean|Creatinine","76633"
"Lrmp","Dorsal coat/hair appearance|Head coat/hair appearance","16970"
"Lrp1","Alkaline phosphatase|Peak wake with respect to dark onset median|Glucose|Total holepokes|HRV|Embryo Size|Pallor|Pericardium Morphology|Limb Bud Morphology|RR|CV|Viability Outcome|Triglycerides","16971"
"Lrr1","Viability Outcome|Outcome|Tremor","69706"
"Lrrc10","Liver weight","237560"
"Lrrc15","Average duration|Mean cell hemoglobin concentration|Area under glucose response curve|RR|Initial response to glucose challenge","74488"
"Lrrc2","Alkaline phosphatase","74249"
"Lrrc20","Aspartate aminotransferase","216011"
"Lrrc23","Gross Findings Male","16977"
"Lrrc3","Percentage center time|Forelimb grip strength measurement mean|Center permanence time|HDL-cholesterol|Center resting time|Neutrophil differential count|Total cholesterol|Forelimb grip strength normalised against body weight|Periphery permanence time","237387"
"Lrrc30","Lymph node|Percentage center time|Periphery permanence time|Heart|Center permanence time|Body weight","240131"
"Lrrc36","Mean corpuscular hemoglobin|Chloride","270091"
"Lrrc41","Lean mass|Side changes|Number of rears - total|Time mobile dark side|Fat mass|Lean/Body weight|Heart weight|Response amplitude - S|Fat/Body weight","230654"
"Lrrc49","Viability Outcome|Number of rears - total|Breath rate during sleep mean","102747"
"Lrrc51","Skin color - tail|Retinal Blood Vessels Pattern","69358"
"Lrrc56","Brain - MPATH pathological process term|Testis - MPATH pathological process term|Epididymis - MPATH pathological process term|Creatinine|Body length|Brain - MPATH pathological entity term|Gross Findings Male|Testis - MPATH pathological entity term|Cholesterol ratio","70552"
"Lrrc71","Gross Findings Male","74485"
"Lrrc8a","Embryo Size|Viability Outcome|Anophthalmia|Lung|Edema|Eye with optic nerve|Craniofacial morphology","241296"
"Lrrc8a","Embryo Size|Viability Outcome|Anophthalmia|Lung|Edema|Eye with optic nerve|Craniofacial morphology","118451630"
"Lrrc8c","Neutrophil cell count|Spleen|Testes|White blood cell count|Eye with optic nerve|Lymphocyte cell count","100604"
"Lrrc8d","Alkaline phosphatase|Bone Mineral Density (excluding skull)|Fat mass","231549"
"Lrrcc1","Gross Findings Male|Brain","71710"
"Lrrfip1","Skin color - tail|Cardiac Output","16978"
"Lrrk1","Creatine kinase|Platelet count|Urea (Blood Urea Nitrogen - BUN)|Mandibles|Zygomatic bone|Upper teeth appearance|Total cholesterol|Lymphocyte cell count|Femur|Lower teeth appearance|Eyelid morphology|Clavicle|Lean mass|Snout size|Shape of ribs|Bone Mineral Content (excluding skull)|Joints|Teeth|Tibia length|Fat mass|Spleen weight|Shape of vertebrae|Maxilla/Pre-maxilla|Basophil cell count|Aspartate aminotransferase|Fibula|Pelvis|Red blood cell distribution width|Tibia|BMC/Body weight|HDL-cholesterol|Gait|Alkaline phosphatase|Radius|Calcium|Humerus|Bone Mineral Density (excluding skull)|Ulna|Eosinophil cell count|Neutrophil differential count|Neutrophil cell count|Activity (body position)|Teeth presence|Lymphocyte differential count","77011"
"Lrrk1","Creatine kinase|Platelet count|Urea (Blood Urea Nitrogen - BUN)|Mandibles|Zygomatic bone|Upper teeth appearance|Total cholesterol|Lymphocyte cell count|Femur|Lower teeth appearance|Eyelid morphology|Clavicle|Lean mass|Snout size|Shape of ribs|Bone Mineral Content (excluding skull)|Joints|Teeth|Tibia length|Fat mass|Spleen weight|Shape of vertebrae|Maxilla/Pre-maxilla|Basophil cell count|Aspartate aminotransferase|Fibula|Pelvis|Red blood cell distribution width|Tibia|BMC/Body weight|HDL-cholesterol|Gait|Alkaline phosphatase|Radius|Calcium|Humerus|Bone Mineral Density (excluding skull)|Ulna|Eosinophil cell count|Neutrophil differential count|Neutrophil cell count|Activity (body position)|Teeth presence|Lymphocyte differential count","233328"
"Lrrtm1","Monocyte cell count|Heart weight|Locomotor activity|White blood cell count|Skin|Eye with optic nerve|Center average speed","74342"
"Lrrtm2","Lymph node|Number of center entries|Spleen|Urinary bladder|Eye with optic nerve|Kidney|Heart|Whole arena average speed|Gall bladder|Liver|Skin|Lung|Distance travelled - total|Periphery average speed","107065"
